trade_name,active_ingredient_name,active_ingredient_concentration_percent,registration_status,ready_to_use,registration_number,label_url,valid_until,approved_pests,approved_application_methods,source_name,source_url,verified_at
דלתא סופר,"deltamethrin, s-bioallethrin",2.50,unknown,false,,,,זבובים בוגרים;חרקים זוחלים אחרים;חרקים מעופפים אחרים;פישפשי מיטה;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
אדוויון 20,indoxacarb,20.00,unknown,true,,,,נמלים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
קומנדו 313,bifenthrin,0.05,unknown,false,,,,חרקים זוחלים אחרים;נמלים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
K 300 פלוס 8,"lambda-cyhalothrin, novaluron, prallethrin",0.03,unknown,true,,,,חרקים זוחלים אחרים;נמלים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
in2care,"Beauveria bassiana, Pyriproxyfen",10.00,unknown,false,,,,זחלי יתושים;יתושים בוגרים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
פיקס ג'ל,fipronil,0.01,unknown,true,,,,נמלים;נמלת האש הקטנה,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
ספיר,"MGK 264, cypermethrin cis/trans 40/60",6.40,unknown,false,,,,זבובים בוגרים;יתושים בוגרים;נמלים;פרוקי רגלים אחרים;פרעושים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
פרמיס 350,"imidacloprid, imidacloprid",30.40,unknown,false,,,,טרמיטים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
טאצ' די תוש ספריי קוטל חרקים מעופפים,"Bioallethrin, Piperonyl Butoxide, TETRAMETHRIN",0.15,unknown,true,,,,זבובים בוגרים;חרקים מעופפים אחרים;יתושים בוגרים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
סנו K-2000,cyphenothrin,0.30,unknown,false,,,,חרקים זוחלים אחרים;פרעושים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
מאסטר פליי,Dinotefuran,12.00,unknown,false,,,,זבובים בוגרים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
פליי - אוף,Dinotefuran,0.30,unknown,true,,,,זבובים בוגרים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
סופר ג'ל,fipronil,0.05,unknown,true,,,,תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
סנו שמפו שטיחים פלוס דוחה קרדית אבק הבית,perfume,1.70,unknown,true,,,,קרדית אבק הבית,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
מארש,emamectin benzoate,1.92,unknown,false,,,,תהלוכן האורן,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
מדביר יתושים וזבובים,"Bioallethrin, Piperonyl Butoxide, TETRAMETHRIN, cypermethrin cis/trans 40/60",0.15,unknown,true,,,,זבובים בוגרים;יתושים בוגרים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
קינג ג'ל,fipronil,0.05,unknown,true,,,,תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
קווין ג'ל פיתיון,fipronil,0.01,unknown,true,,,,נמלים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
סולו בלוק,brodifacoum,0.01,unknown,true,,,,חולדות;עכברים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
אלמוג,deltamethrin,4.75,unknown,false,,,,חרקים זוחלים אחרים;נמלים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
דרגון,bifenthrin,9.60,unknown,false,,,,חרקים זוחלים אחרים;פישפשי מיטה;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
פרו ג'ל נמלים וטרמיטים,fipronil,0.01,unknown,true,,,,טרמיטים;נמלים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
K3 פתיון ג'ל - קוטל נמלים בבית ובחצר,fipronil,0.01,unknown,true,,,,נמלים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
"נוזל ניקוי רצפות דוחה תיקנים ""המותג/מג'יק פואוור""",Perfume Citronella,2.00,unknown,false,,,,תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
דלתא מקס,"Piperonyl Butoxide, Pyriproxyfen, deltamethrin",5.00,unknown,false,,,,פרעושים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
אנטי אנט,fipronil,0.05,unknown,true,,,,נמלת האש הקטנה,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
טרמיטקס,diflubenzuron,0.25,unknown,true,,,,טרמיטים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
דרקר 10.2,"Piperonyl Butoxide, TETRAMETHRIN, cypermethrin cis/trans 40/60",10.00,unknown,false,,,,זבובים בוגרים;חרקים זוחלים אחרים;חרקים מעופפים אחרים;יתושים בוגרים;נמלים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
ספירה נוזל דוחה יתושים,prallethrin,1.20,unknown,false,,,,יתושים בוגרים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
פירתרון,"MGK 264, Piperonyl Butoxide, pyrethrum",10.00,unknown,false,,,,יתושים בוגרים;מזיקי מזון,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
פרמקס 20,Permethrin,20.00,unknown,false,,,,זבובים בוגרים;יתושים בוגרים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
ברודיטופ פסטה לתברואה,brodifacoum,0.01,unknown,true,,,,חולדות;עכברים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
שוהם,bifenthrin,10.00,unknown,false,,,,חרקים זוחלים אחרים;טרמיטים;נמלים;פרעושים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
רטרים בלוק,bromadiolone,0.01,unknown,true,,,,חולדות;עכברים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
טאצ' די תיקן פורטה,"Piperonyl Butoxide, TETRAMETHRIN, cyfluthrin, cypermethrin cis/trans 40/60",0.34,unknown,true,,,,חרקים זוחלים אחרים;נמלים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
גוליבר תיקנים,fipronil,0.05,unknown,true,,,,תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
גוליבר נמלים,fipronil,0.01,unknown,true,,,,נמלים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
פאלקון,"bifenthrin, imidacloprid",5.00,unknown,false,,,,נמלים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
סיפ 20,cypermethrin cis/trans 40/60,20.00,unknown,false,,,,זבובים בוגרים;זחלי יתושים;חרקים מעופפים אחרים;יתושים בוגרים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
סנו K-600 (חדש),"MGK 264, Piperonyl Butoxide, TETRAMETHRIN, esbiothrin, phenothrin",1.00,unknown,true,,,,זבובים בוגרים;יתושים בוגרים;מזיקי בד אחרים;מזיקי ספרים;עש,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
קילר,bifenthrin,0.05,unknown,false,,,,חרקים זוחלים אחרים;נמלים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
K3 תחנת פתיון,fipronil,0.05,unknown,true,,,,תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
פרפקט פרו 500,"Bioallethrin, Piperonyl Butoxide, deltamethrin",0.20,unknown,true,,,,חרקים זוחלים אחרים;נמלים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
סנו רצפז פלוס ווקס נוזל להברקת רצפות דוחה תיקנים,perfume,2.00,unknown,false,,,,תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
רייד בוטני קוטל זוחלים ומעופפים,"Piperonyl Butoxide, pyrethrum",1.05,unknown,true,,,,זבובים בוגרים;חרקים זוחלים אחרים;חרקים מעופפים אחרים;יתושים בוגרים;נמלים;פרעושים;צרעות;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
טאץ' רב קוטל,"Piperonyl Butoxide, TETRAMETHRIN, cyfluthrin, cypermethrin cis/trans 40/60",0.50,unknown,true,,,,זבובים בוגרים;חרקים זוחלים אחרים;חרקים מעופפים אחרים;יתושים בוגרים;נמלים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
טופז,"D-limonene, pyrethrum",1.50,unknown,true,,,,תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
אנט ג'ל,fipronil,0.01,unknown,true,,,,נמלים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
דוחה תיקנים רמי לוי,perfume,3.00,unknown,false,,,,תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
פרמתרול 25,Permethrin,25.00,unknown,false,,,,זבובים בוגרים;יתושים בוגרים;נמלים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
מורין דיפה פסטה,difenacoum,0.01,unknown,true,,,,חולדות;עכברים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
סנטור,lambda-cyhalothrin,9.70,unknown,false,,,,זבובים בוגרים;חרקים זוחלים אחרים;חרקים מעופפים אחרים;יתושים בוגרים;פישפשי מיטה;קרציות קשות;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
סיזמיק,lambda-cyhalothrin,9.70,unknown,false,,,,זבובים בוגרים;חרקים זוחלים אחרים;יתושים בוגרים;נמלים;פרוקי רגלים אחרים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
אנטיפליי,Dinotefuran,0.30,unknown,false,,,,זבובים בוגרים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
ברקת,"MGK 264, Pyriproxyfen, cypermethrin cis/trans 40/60",6.40,unknown,false,,,,פרעושים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
פרמנונה 200,Permethrin,20.00,unknown,false,,,,זבובים בוגרים;חרקים זוחלים אחרים;חרקים מעופפים אחרים;יתושים בוגרים;נמלים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
גרנולר - פיתיוןגרגירי לנמלת האש הקטנה ונמלים אחר,fipronil,0.05,unknown,true,,,,נמלים;נמלת האש הקטנה,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
פנטום פרו,cyphenothrin,10.00,unknown,false,,,,פרעושים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
סיפזול 20,cypermethrin cis/trans 40/60,20.00,unknown,false,,,,זבובים בוגרים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
אודם,"bifenthrin, imidacloprid",4.00,unknown,false,,,,חרקים זוחלים אחרים;יתושים בוגרים;נמלים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
פרו ג'ל נמלים,fipronil,0.01,unknown,true,,,,נמלים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
רימקס,Permethrin,25.00,unknown,false,,,,זבובים בוגרים;חרקים זוחלים אחרים;יתושים בוגרים;נמלים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
דמנד,lambda-cyhalothrin,9.60,unknown,false,,,,נמלים;פישפשי מיטה;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
ספירה מאט טבליות קוטלי יתושים,prallethrin,1.33,unknown,true,,,,יתושים בוגרים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
סיפרין לתברואה,cypermethrin cis/trans 40/60,20.00,unknown,false,,,,זבובים בוגרים;זחלי יתושים;יתושים בוגרים;נמלים;פרעושים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
טיגריס,Dinotefuran,0.15,unknown,true,,,,יתושים בוגרים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
אדוויון פתיון ג'ל להדברת תיקנים,indoxacarb,0.60,unknown,true,,,,תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
אדוויון פתיון ג'ל להדברת נמלים,indoxacarb,0.05,unknown,true,,,,נמלים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
K3 נמלת האש פיתיון ג'ל קוטל את נמלת האש הקטנה בבית,fipronil,0.01,unknown,true,,,,נמלת האש הקטנה,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
רימי 90 נוזלי,Pyriproxyfen,5.00,unknown,false,,,,זחלי יתושים;זחלי פרעושים;רימות זבובים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
סיפרימי,cypermethrin cis/trans 40/60,10.00,unknown,false,,,,זבובים בוגרים;חרקים זוחלים אחרים;חרקים מעופפים אחרים;יתושים בוגרים;נמלים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
פורסטאר,"Bacillus sphaericus, bacillus thuringiensis var israelensis",6.00,unknown,false,,,,זחלי יתושים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
טופ גריין,fipronil,0.05,unknown,true,,,,נמלים;נמלת האש הקטנה,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
אינוויקט גולד,imidacloprid,2.15,unknown,true,,,,תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
אדמירל,bifenthrin,7.90,unknown,false,,,,טרמיטים;נמלים;פרעושים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
מגלון בלוק לתברואה,bromadiolone,0.01,unknown,true,,,,חולדות;עכברים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
זאגור פסטה,brodifacoum,0.01,unknown,true,,,,חולדות;עכברים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
סיפרמקס,cypermethrin cis/trans 40/60,20.00,unknown,false,,,,זבובים בוגרים;זחלי יתושים;חרקים מעופפים אחרים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
רייד זבובים ויתושים מבושם,"d-phenothrin, prallethrin",0.13,unknown,true,,,,זבובים בוגרים;יתושים בוגרים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
רייד קוטל נמלים 2 ב-1,"cypermethrin cis/trans 40/60, imiprothrin",0.10,unknown,true,,,,נמלים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
אימפקט,"cypermethrin cis/trans 40/60, cyromazine",20.00,unknown,false,,,,פרעושים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
בק תוש,bacillus thuringiensis var israelensis,0,unknown,false,,,,זחלי יתושים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
"רייד נגד עש ג'ל - ""לבנדר""",transfluthrin,0.15,unknown,true,,,,עש,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
מקספורס פורטה,fipronil,0.05,unknown,true,,,,תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
אקואטיין AMF,silicone fluid,87.50,unknown,false,,,,זחלי יתושים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
צרעון,"Piperonyl Butoxide, TETRAMETHRIN, cypermethrin cis/trans 40/60",0.85,unknown,true,,,,צרעות,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
גרגירמקס,fipronil,0.05,unknown,true,,,,נמלים;נמלת האש הקטנה,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
תרסיפ 20,cypermethrin cis/trans 40/60,20.00,unknown,false,,,,זחלי יתושים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
פרו-ג'ל,fipronil,0.05,unknown,true,,,,תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
רייד זבובים ויתושים,"d-phenothrin, prallethrin",0.13,unknown,true,,,,חרקים מעופפים אחרים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
אדוויון פתיון גרגרי להדברת נמלת האש,indoxacarb,0.05,unknown,true,,,,נמלים;נמלת האש הקטנה,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
מקפז,"MGK 264, Piperonyl Butoxide, TETRAMETHRIN, deltamethrin",0.50,unknown,true,,,,חרקים זוחלים אחרים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
טפיר,"bifenthrin, imidacloprid",5.00,unknown,false,,,,נמלים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
סנו K-400,"MGK 264, Piperonyl Butoxide, TETRAMETHRIN",1.00,unknown,true,,,,זבובים בוגרים;חרקים מעופפים אחרים;יתושים בוגרים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
"סנו K מעופפים פירטרום - קוטל יתושים, זבובים","Piperonyl Butoxide, pyrethrum",1.50,unknown,true,,,,זבובים בוגרים;חרקים מעופפים אחרים;יתושים בוגרים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
סנו רצפז פלוס - נוזל לניקוי רצפה - דוחה תקנים,perfume,2.00,unknown,false,,,,תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
מוריברום ברודיפקום בלוק,brodifacoum,0.01,unknown,true,,,,חולדות;עכברים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
מוריברום ברודיפקום פסטה,brodifacoum,0.01,unknown,true,,,,חולדות;עכברים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
סיפרפקט 200 לתברואה,"D-limonene, cypermethrin cis/trans 40/60",5.00,unknown,false,,,,זבובים בוגרים;חרקים זוחלים אחרים;חרקים מעופפים אחרים;יתושים בוגרים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
ווינר,"Piperonyl Butoxide, TETRAMETHRIN, cypermethrin cis/trans 40/60",0.30,unknown,false,,,,זבובים בוגרים;חרקים זוחלים אחרים;חרקים מעופפים אחרים;יתושים בוגרים;נמלים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
נפורקס 2%,cyromazine,2.00,unknown,true,,,,זחלי פרעושים;רימות זבובים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
הדרית,D-limonene,7.00,unknown,true,,,,חרקים מעופפים אחרים;יתושים בוגרים;נמלים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
טמפריד,"Beta-Cyfluthrin, imidacloprid",10.88,unknown,false,,,,זבובים בוגרים;חרקים זוחלים אחרים;נמלים;פישפשי מיטה;פרוקי רגלים אחרים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
דיפון 100,difenacoum,0.08,unknown,true,,,,חולדות;עכברים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
סנו K-333 נוזל - קוטל תיקנים נמלים וחרקים זוחלים א,bifenthrin,0.05,unknown,false,,,,חרקים זוחלים אחרים;נמלים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
K3 פיתיון ג'ל,fipronil,0.05,unknown,true,,,,תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
K 500,"lambda-cyhalothrin, prallethrin",0.03,unknown,true,,,,חרקים זוחלים אחרים;נמלים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
סנו K רב קוטל,"Piperonyl Butoxide, deltamethrin, prallethrin",1.00,unknown,true,,,,זבובים בוגרים;חרקים זוחלים אחרים;חרקים מעופפים אחרים;יתושים בוגרים;נמלים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
סנו רצפז פלוס-מטליות,perfume,1.00,unknown,false,,,,תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
סנו k 303 פלוס 8 - קוטל תיקנים נמלים וחרקים זוחלים,"Piperonyl Butoxide, deltamethrin, esbiothrin, novaluron",1.20,unknown,true,,,,חרקים זוחלים אחרים;נמלים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
סנו k303 - קוטל תיקנים נמלים וחרקים זוחלים אחרים,"Piperonyl Butoxide, deltamethrin, esbiothrin",1.20,unknown,true,,,,חרקים זוחלים אחרים;נמלים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
סנו K800,"Piperonyl Butoxide, cypermethrin cis/trans 40/60, imiprothrin",1.00,unknown,true,,,,נמלים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
K 300,"Piperonyl Butoxide, lambda-cyhalothrin, prallethrin",1.00,unknown,true,,,,חרקים זוחלים אחרים;נמלים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
ז-אפס-3,"Bioallethrin, Piperonyl Butoxide, TETRAMETHRIN, cyfluthrin",0.20,unknown,true,,,,חרקים זוחלים אחרים;נמלים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
ז-אפס מיקרוקפסולרי,"Piperonyl Butoxide, TETRAMETHRIN, cypermethrin cis/trans 40/60",0.30,unknown,false,,,,חרקים זוחלים אחרים;נמלים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
דינופליי,Dinotefuran,12.00,unknown,false,,,,זבובים בוגרים;פישפשי מיטה,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
טרמיט ג'ל,fipronil,0.05,unknown,true,,,,טרמיטים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
סנו מט דוחה יתושים לוחיות אידוי,prallethrin,1.33,unknown,true,,,,יתושים בוגרים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
נמסיס פיתיון לטרמיטים,"N-(4-(3-chloro-5-trifluoromethyl-2-pyridinyl-oxy)-3,5-dichloro-phenyl-aminocarbonyl)-2, 6-difluorobenzamide",0.10,unknown,false,,,,טרמיטים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
סנומט דוחה יתושים - נוזלי,prallethrin,1.20,unknown,false,,,,יתושים בוגרים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
בי-10,bifenthrin,10.00,unknown,false,,,,נמלים;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
בזלת,"hydramethylnon, methoprene",0.37,unknown,true,,,,נמלים;נמלת האש הקטנה,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
פרמתרול אבוקות עשן,Permethrin,13.50,unknown,false,,,,חרקי מחסן;תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
רטרים פסטה,brodifacoum,0.01,unknown,true,,,,חולדות;עכברים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
טורפדו ג'ל פיתיון קוטל תיקנים,fipronil,0.05,unknown,true,,,,תיקנים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
טופ ג'ל פתיון קוטל נמלים,fipronil,0.01,unknown,true,,,,נמלים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
אלפא ג'ל,fipronil,0.01,unknown,true,,,,טרמיטים;נמלים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
פזטוקס (חדש),"Piperonyl Butoxide, phenothrin, prallethrin",1.00,unknown,true,,,,זבובים בוגרים;חרקים מעופפים אחרים;יתושים בוגרים,,אפליקציית היומן המקומית הקודמת — לא אומת מול מקור רשמי,,
